INFO 2024-06-25 09:47:19,368 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-25 09:47:19,814 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\transaction.py first seen with mtime 1718659995.388563
DEBUG 2024-06-25 09:47:19,814 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\backends\sqlite3\creation.py first seen with mtime 1718659995.4466832
DEBUG 2024-06-25 09:47:19,814 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\asyncio\sslproto.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,814 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\concurrent\__init__.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,814 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1718659995.328321
DEBUG 2024-06-25 09:47:19,814 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\rest_framework\validators.py first seen with mtime 1718915696.1170025
DEBUG 2024-06-25 09:47:19,814 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1718659995.3444095
DEBUG 2024-06-25 09:47:19,815 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1718659995.5904176
DEBUG 2024-06-25 09:47:19,815 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\uu.py first seen with mtime 1652795112.0
DEBUG 2024-06-25 09:47:19,815 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\http\__init__.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,815 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\rest_framework\permissions.py first seen with mtime 1718915696.1059988
DEBUG 2024-06-25 09:47:19,815 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1718659995.4827516
DEBUG 2024-06-25 09:47:19,816 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1718659991.8458881
DEBUG 2024-06-25 09:47:19,816 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\models\constants.py first seen with mtime 1718659995.4687471
DEBUG 2024-06-25 09:47:19,816 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1718659995.5732954
DEBUG 2024-06-25 09:47:19,816 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\wsgiref\handlers.py first seen with mtime 1652795112.0
DEBUG 2024-06-25 09:47:19,816 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1718659995.3965645
DEBUG 2024-06-25 09:47:19,816 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\socket.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,816 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\email\__init__.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,817 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\_bootlocale.py first seen with mtime 1652795110.0
